miRNA,182_S25_R1_001,112_S27_R1_001,15-7p150_S32_R1_001,192_S22_R1_001,15-1p16_S33_R1_001,121_S24_R1_001,153_S15_R1_001,124_S16_R1_001,166_S4_R1_001,059_S13_R1_001,167_S23_R1_001,149_S3_R1_001,093_S6_R1_001,144_S5_R1_001,062_S19_R1_001,179_S26_R1_001,138_S30_R1_001,033_S21_R1_001,6c_S47_R1_001,123_S20_R1_001,1c_S43_R1_001,29-7p16_S41_R1_001,Undetermined_S0_R1_001,197_S2_R1_001,15-7p16_S31_R1_001,29-1p16_S39_R1_001,17-7p150_S38_R1_001,109_S9_R1_001,187_S10_R1_001,105_S1_R1_001,15-1p150_S34_R1_001,29-7p150_S42_R1_001,17-1p150_S36_R1_001,17-7p16_S37_R1_001,127_S29_R1_001,164_S14_R1_001,075_S12_R1_001,135_S7_R1_001,17-1p16_S35_R1_001,019_S18_R1_001,125_S11_R1_001,106_S28_R1_001,7c_S44_R1_001,32c_S45_R1_001,29-1p150_S40_R1_001,4c_S46_R1_001,103_S17_R1_001,34c_S48_R1_001,128_S8_R1_001
Hsa-Mir-145_3p*,76.0,171.0,0.0,195.0,15.0,258.0,89.0,81.0,87.0,45.0,132.0,204.0,39.0,55.0,123.0,386.0,127.0,162.0,480.0,277.0,761.0,9.0,108.0,93.0,2.0,0.0,73.0,90.0,246.0,93.0,283.0,0.0,43.0,0.0,8.0,222.0,0.0,30.0,11.0,152.0,161.0,0.0,1689.0,26.0,14.0,0.0,109.0,335.0,70.0
Hsa-Mir-145_5p,65.0,54.0,46.0,44.0,22.0,0.0,31.0,34.0,56.0,6.0,2.0,73.0,43.0,23.0,18.0,37.0,22.0,64.0,1012.0,26.0,1116.0,0.0,89.0,91.0,0.0,0.0,5.0,7.0,0.0,42.0,4.0,0.0,0.0,0.0,0.0,39.0,0.0,33.0,0.0,96.0,8.0,2.0,2739.0,283.0,0.0,0.0,65.0,420.0,19.0
Hsa-Mir-146-P1_3p*,0.0,3.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_5p,6853.0,3785.0,3122.0,11303.0,2810.0,14352.0,1430.0,2008.0,1308.0,5590.0,19658.0,4985.0,2010.0,2547.0,28371.0,7556.0,5690.0,9367.0,11332.0,12879.0,6591.0,1291.0,5077.0,3962.0,3194.0,492.0,3702.0,2594.0,2124.0,4042.0,6940.0,1001.0,4480.0,3700.0,5644.0,1729.0,2741.0,1878.0,2575.0,7214.0,2146.0,68711.0,57174.0,1056.0,501.0,1183.0,2927.0,11453.0,1926.0
Hsa-Mir-146-P2_3p*,1973.0,79.0,19.0,438.0,87.0,289.0,79.0,105.0,68.0,136.0,761.0,170.0,156.0,97.0,314.0,274.0,219.0,283.0,340.0,270.0,526.0,0.0,187.0,327.0,165.0,6.0,56.0,100.0,309.0,190.0,127.0,0.0,17.0,34.0,190.0,191.0,0.0,197.0,34.0,160.0,37.0,4190.0,909.0,63.0,0.0,115.0,131.0,152.0,170.0
Hsa-Mir-146-P2_5p,7835.0,3919.0,326.0,7177.0,2031.0,6915.0,1686.0,2241.0,868.0,2450.0,8692.0,3310.0,1536.0,1613.0,12591.0,4530.0,4603.0,5991.0,71141.0,5501.0,134475.0,610.0,7923.0,2747.0,4131.0,373.0,214.0,2446.0,2522.0,2669.0,1316.0,273.0,375.0,2075.0,4097.0,1507.0,1262.0,4158.0,1205.0,2912.0,982.0,14550.0,141282.0,5508.0,86.0,1360.0,2400.0,20145.0,2040.0
Hsa-Mir-147_3p,60.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,27.0,78.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,87.0,0.0,0.0,0.0,11.0,6.0,10.0
Hsa-Mir-147_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-148-P1_3p,2693952.0,71777.0,40686.0,55843.0,5303.0,49921.0,54321.0,63174.0,87352.0,89860.0,48707.0,114868.0,42963.0,45293.0,136253.0,196997.0,101932.0,213969.0,370818.0,85719.0,58992.0,2427.0,90892.0,42355.0,21975.0,600.0,8768.0,68593.0,162275.0,43629.0,87886.0,4502.0,9615.0,6820.0,10353.0,111355.0,6478.0,62591.0,3352.0,43303.0,143166.0,16563.0,502153.0,20945.0,3106.0,8185.0,61959.0,27706.0,68915.0
Hsa-Mir-148-P1_5p*,14347.0,443.0,736.0,625.0,11.0,497.0,588.0,514.0,539.0,944.0,1290.0,1233.0,374.0,301.0,1032.0,1442.0,532.0,754.0,1116.0,468.0,298.0,42.0,687.0,467.0,370.0,10.0,49.0,530.0,1073.0,364.0,392.0,74.0,70.0,217.0,247.0,935.0,258.0,357.0,62.0,628.0,865.0,1132.0,2313.0,303.0,3.0,240.0,583.0,231.0,443.0
Hsa-Mir-148-P2_3p,3117.0,129.0,191.0,233.0,0.0,212.0,78.0,111.0,109.0,129.0,140.0,120.0,43.0,48.0,420.0,115.0,166.0,211.0,562.0,146.0,879.0,60.0,171.0,242.0,0.0,20.0,55.0,109.0,117.0,196.0,191.0,46.0,56.0,361.0,94.0,98.0,4.0,101.0,0.0,238.0,160.0,0.0,1695.0,74.0,11.0,0.0,244.0,344.0,78.0
Hsa-Mir-148-P2_5p*,39.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,11.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,23.0,3.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-148-P3_3p,3383.0,2197.0,468.0,2179.0,0.0,1262.0,1110.0,1086.0,1150.0,2156.0,1627.0,1343.0,966.0,1083.0,8742.0,2897.0,2534.0,2029.0,9347.0,1880.0,6637.0,492.0,1550.0,925.0,0.0,108.0,234.0,2057.0,781.0,1212.0,1031.0,321.0,241.0,1521.0,196.0,956.0,7.0,1393.0,855.0,1003.0,1379.0,19.0,10693.0,1111.0,127.0,9.0,1581.0,9414.0,1720.0
Hsa-Mir-148-P3_5p*,122.0,309.0,0.0,247.0,100.0,176.0,78.0,186.0,37.0,173.0,143.0,73.0,22.0,95.0,503.0,196.0,210.0,123.0,368.0,116.0,204.0,7.0,95.0,75.0,0.0,22.0,13.0,220.0,104.0,87.0,29.0,34.0,9.0,223.0,17.0,95.0,126.0,101.0,182.0,104.0,54.0,0.0,532.0,18.0,11.0,0.0,93.0,318.0,204.0
Hsa-Mir-149_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-149_5p,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,7.0,963.0,0.0,62.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,13.0,0.0,0.0,0.0,33.0,0.0
